id	depth	type	is_leaf	name	path
science-lists-physics-lists-relativistic-equations	4	event	true	Relativistic equations	Science / Lists / Physics lists / Relativistic equations
science-lists-physics-lists-resistivities	4	event	true	Resistivities	Science / Lists / Physics lists / Resistivities
science-lists-plants-lists	3	event	false	Plants lists	Science / Lists / Plants lists
science-lists-plants-lists-acer-species-maples	4	event	true	Acer species (maples)	Science / Lists / Plants lists / Acer species (maples)
science-lists-plants-lists-domesticated-plants	4	event	true	Domesticated plants	Science / Lists / Plants lists / Domesticated plants
science-lists-plants-lists-edible-seeds	4	event	true	Edible seeds	Science / Lists / Plants lists / Edible seeds
science-lists-plants-lists-famous-trees	4	event	true	Famous trees	Science / Lists / Plants lists / Famous trees
science-lists-plants-lists-fruits-list	4	event	true	Fruits list	Science / Lists / Plants lists / Fruits list
science-lists-plants-lists-garden-plants	4	event	true	Garden plants	Science / Lists / Plants lists / Garden plants
science-lists-plants-lists-herbs-list	4	event	true	Herbs list	Science / Lists / Plants lists / Herbs list
science-lists-plants-lists-palm-tree-genera	4	event	true	Palm tree genera	Science / Lists / Plants lists / Palm tree genera
science-lists-plants-lists-sequoia-groves	4	event	true	Sequoia groves	Science / Lists / Plants lists / Sequoia groves
science-lists-plants-lists-vegetables-list	4	event	true	Vegetables list	Science / Lists / Plants lists / Vegetables list
science-lists-species-and-specimens	3	event	false	Species and specimens	Science / Lists / Species and specimens
science-lists-species-and-specimens-birds-by-region	4	event	true	Birds by region	Science / Lists / Species and specimens / Birds by region
science-lists-species-and-specimens-dinosaur-species	4	event	true	Dinosaur species	Science / Lists / Species and specimens / Dinosaur species
science-lists-species-and-specimens-domesticated-animals	4	event	true	Domesticated animals	Science / Lists / Species and specimens / Domesticated animals
science-lists-species-and-specimens-mammals-by-region	4	event	true	Mammals by region	Science / Lists / Species and specimens / Mammals by region
science-lists-species-and-specimens-organisms-by-population	4	event	true	Organisms by population	Science / Lists / Species and specimens / Organisms by population
science-lists-species-and-specimens-organisms-named-after-famous-people	4	event	true	Organisms named after famous people	Science / Lists / Species and specimens / Organisms named after famous people
science-lists-species-and-specimens-organisms-named-after-works-of-fiction	4	event	true	Organisms named after works of fiction	Science / Lists / Species and specimens / Organisms named after works of fiction
science-lists-species-and-specimens-world-s-25-most-endangered-primates	4	event	true	World's 25 Most Endangered Primates	Science / Lists / Species and specimens / World's 25 Most Endangered Primates
