id	depth	type	is_leaf	name	path
society-lists-trade-unions-list	3	event	true	Trade unions list	Society / Lists / Trade unions list
society-lists-traded-commodities	3	event	true	Traded commodities	Society / Lists / Traded commodities
society-lists-united-nations-member-states	3	event	true	United Nations member states	Society / Lists / United Nations member states
society-lists-united-states-federal-agencies	3	event	true	United States federal agencies	Society / Lists / United States federal agencies
society-lists-united-states-mints	3	event	true	United States Mints	Society / Lists / United States Mints
society-lists-universities-and-colleges-list	3	event	true	Universities and colleges (list)	Society / Lists / Universities and colleges (list)
society-lists-us-presidents-with-facial-hair	3	event	true	US Presidents with facial hair	Society / Lists / US Presidents with facial hair
society-lists-us-states-by-unemployment-rate	3	event	true	US states by unemployment rate	Society / Lists / US states by unemployment rate
society-lists-vowels-table	3	event	true	Vowels table	Society / Lists / Vowels table
society-lists-women-s-organizations	3	event	true	Women's organizations	Society / Lists / Women's organizations
society-lists-writing-systems-list	3	event	true	Writing systems list	Society / Lists / Writing systems list
society-lists-youth-rights-list	3	event	true	Youth rights list	Society / Lists / Youth rights list
