id	depth	type	is_leaf	name	path
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-ireland	8	event	true	Ireland	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / Ireland
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-united-kingdom	8	event	true	United Kingdom	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / United Kingdom
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-united-states	8	event	true	United States	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / United States
culture-mass-media-broadcast-media-television-lists-television-channels-by-language	7	event	false	By language	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-french	8	event	true	French	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / French
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-german	8	event	true	German	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / German
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-greek	8	event	true	Greek	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Greek
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-italian	8	event	true	Italian	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Italian
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-spanish	8	event	true	Spanish	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Spanish
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-tamil	8	event	true	Tamil	Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Tamil
culture-mass-media-broadcast-media-television-lists-television-networks	6	event	true	Television networks	Culture / Mass media / Broadcast media / Television / Lists / Television networks
culture-mass-media-broadcast-media-television-lists-television-programs	6	event	false	Television programs	Culture / Mass media / Broadcast media / Television / Lists / Television programs
culture-mass-media-broadcast-media-television-lists-television-programs-animated-series	7	event	true	Animated series	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Animated series
culture-mass-media-broadcast-media-television-lists-television-programs-anime-lists	7	event	true	Anime lists	Culture / Mass media / Broadcast media / Television / Lists / Television programs / Anime lists
culture-mass-media-broadcast-media-television-lists-television-programs-bl-dramas	7	event	true	BL dramas	Culture / Mass media / Broadcast media / Television / Lists / Television programs / BL dramas
